SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
2.625,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
11.392,1,Pacific,"$25,000 to $34,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
8.516,0,Pacific,"$200,000 or more",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$200,000 or more",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.046,0,Pacific,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.511,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
0.444,0,Pacific,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"$75,000 to $99,999",Other,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,West South Central,"$75,000 to $99,999",Other,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,East North Central,"$125,000 to $149,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.99,1,West South Central,"$15,000 to $24,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
14.081,0,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,1,South Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.058,0,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Urban
0.363,0,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Urban
25.3,0,Middle Atlantic,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
25.3,0,Middle Atlantic,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Middle Atlantic,"$125,000 to $149,999",White,No,Not in MSA or CMSA,Urban
2.625,1,Middle Atlantic,"$125,000 to $149,999",White,No,Not in MSA or CMSA,Urban
3.694,0,South Atlantic,"$100,000 to $124,999",Black or African American,No,Not in MSA or CMSA,Urban
2.625,1,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.808,1,Pacific,"$50,000 to $74,999",Other,Yes,"In an MSA of 500,000 - 999,999",Rural
0.567,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,0,Middle Atlantic,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,South Atlantic,"$35,000 to $49,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$35,000 to $49,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
0.377,0,West South Central,"$15,000 to $24,999",White,Yes,"In an MSA of 250,000 - 499,999",Urban
1.114,0,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA of Less than 250,000",Urban
0.412,0,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA of Less than 250,000",Urban
0.412,0,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA of Less than 250,000",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
4.854,1,Middle Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$15,000 to $24,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,East South Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.754,0,West South Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
2.625,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$200,000 or more",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Rural
1.138,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.831,0,Middle Atlantic,"$50,000 to $74,999",Black or African American,Yes,In an MSA or CMSA of 3 million or more,Urban
2.525,0,West South Central,"$35,000 to $49,999",No data,Yes,In an MSA or CMSA of 3 million or more,Rural
2.181,0,West South Central,"$35,000 to $49,999",No data,Yes,In an MSA or CMSA of 3 million or more,Rural
1.27,0,Middle Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
3.347,0,Middle Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.349,0,Pacific,"$25,000 to $34,999",White,Yes,"In an MSA of 250,000 - 499,999",Urban
0.916,0,West South Central,No data,White,No,In an MSA or CMSA of 3 million or more,Urban
0.916,0,West South Central,No data,White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Rural
2.66,0,South Atlantic,No data,Asian,No,"In an MSA of Less than 250,000",Urban
8.1,1,West South Central,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
8.1,1,West South Central,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
8.1,1,West South Central,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
8.1,1,West South Central,"Less than $10,000",White,No,Not in MSA or CMSA,Rural
0.763,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
0.857,0,West North Central,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,Middle Atlantic,"$125,000 to $149,999",White,No,Not in MSA or CMSA,Rural
2.625,0,Pacific,"$35,000 to $49,999",Other,Yes,"In an MSA of 500,000 - 999,999",Urban
2.952,1,Pacific,"$10,000 to $14,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
4.713,0,South Atlantic,"$35,000 to $49,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,East North Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.693,1,South Atlantic,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
6.693,1,South Atlantic,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
7.104,1,South Atlantic,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
3.997,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
0.343,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
1.401,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Rural
4.016,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Rural
4.016,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Rural
4.016,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Rural
4.385,1,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.265,1,Middle Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.064,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
6.891,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.561,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.561,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.561,0,West South Central,"$50,000 to $74,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,South Atlantic,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
4.09,0,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
4.09,0,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,West South Central,"$75,000 to $99,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
3.373,0,West South Central,"$10,000 to $14,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.791,1,West South Central,"$25,000 to $34,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
1.738,1,West South Central,"$25,000 to $34,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
1.052,0,West South Central,"$25,000 to $34,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$200,000 or more",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,South Atlantic,"$200,000 or more",White,No,"In an MSA of 250,000 - 499,999",Urban
5.153,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,South Atlantic,"$15,000 to $24,999",White,No,"In an MSA of 500,000 - 999,999",Rural
16.794,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
16.794,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
16.794,0,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Rural
0.759,0,Pacific,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.124,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
0.354,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.354,0,West South Central,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
4.017,1,East South Central,"$35,000 to $49,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.203,0,East South Central,"$35,000 to $49,999",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.309,0,Pacific,"$15,000 to $24,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.058,0,West South Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
1.058,0,West South Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
7.909,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,1,Pacific,"$75,000 to $99,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Pacific,"$75,000 to $99,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$150,000 to $199,999",Black or African American,No,"In an MSA of 250,000 - 499,999",Rural
0.705,0,West South Central,"$35,000 to $49,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,South Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.625,0,East North Central,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Urban
11.212,1,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.342,1,West South Central,"$35,000 to $49,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
0.497,1,Middle Atlantic,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.497,1,Middle Atlantic,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,East North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,1,East North Central,"$25,000 to $34,999",White,No,"In an MSA of Less than 250,000",Rural
2.625,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,West South Central,"$75,000 to $99,999",White,No,"In an MSA of 250,000 - 499,999",Urban
3.318,0,Middle Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.075,0,West South Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.075,0,West South Central,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
6.225,0,East North Central,"$200,000 or more",White,No,Not in MSA or CMSA,Rural
6.224,0,East North Central,"$200,000 or more",White,No,Not in MSA or CMSA,Rural
2.625,1,West South Central,"Less than $10,000",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,1,West South Central,"Less than $10,000",White,Yes,In an MSA or CMSA of 3 million or more,Urban
6.098,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.302,0,West South Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
0.794,0,West South Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
0.811,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.455,0,West South Central,"$35,000 to $49,999",Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
19.438,0,South Atlantic,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Rural
45.446,0,West South Central,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
2.429,1,South Atlantic,"$15,000 to $24,999",White,No,Not in MSA or CMSA,Rural
0.943,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Rural
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 250,000 - 499,999",Urban
1.689,0,South Atlantic,"Less than $10,000",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.815,0,Mountain,"$15,000 to $24,999",White,No,"In an MSA of 500,000 - 999,999",Urban
5.628,1,South Atlantic,"$50,000 to $74,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.365,1,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.365,1,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.365,1,West South Central,"$35,000 to $49,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.0,0,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.442,0,South Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
3.557,1,West South Central,"$10,000 to $14,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
3.589,0,East North Central,"Less than $10,000",Black or African American,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
7.158,1,Middle Atlantic,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
3.622,1,Middle Atlantic,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
2.625,0,Pacific,No data,White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.81,0,South Atlantic,No data,Black or African American,No,"In an MSA of 500,000 - 999,999",Urban
3.069,0,South Atlantic,"$25,000 to $34,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.244,0,West South Central,"$150,000 to $199,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.244,0,West South Central,"$150,000 to $199,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.466,0,Pacific,"$35,000 to $49,999",Other,No,In an MSA or CMSA of 3 million or more,Urban
9.02,0,South Atlantic,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
3.268,0,West South Central,"$100,000 to $124,999",Asian,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
0.692,0,Mountain,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.692,0,Mountain,"$75,000 to $99,999",White,No,"In an MSA of 500,000 - 999,999",Urban
0.456,0,Mountain,"$125,000 to $149,999",White,No,"In an MSA of Less than 250,000",Urban
0.989,1,West North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.989,1,West North Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.698,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.554,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.604,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.047,0,West South Central,"Less than $10,000",Other,Yes,"In an MSA of Less than 250,000",Urban
8.209,0,Pacific,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
2.625,1,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,South Atlantic,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,Mountain,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,Mountain,"$150,000 to $199,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.353,0,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
2.625,1,East North Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
0.898,0,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,Pacific,"$150,000 to $199,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,East North Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
2.625,0,East North Central,"$35,000 to $49,999",White,No,Not in MSA or CMSA,Rural
1.651,0,Pacific,"$25,000 to $34,999",White,Yes,"In an MSA of 250,000 - 499,999",Urban
2.625,0,Pacific,"$25,000 to $34,999",White,Yes,"In an MSA of 250,000 - 499,999",Urban
12.328,1,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
15.685,1,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Rural
0.908,0,South Atlantic,"$100,000 to $124,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
0.908,0,South Atlantic,"$100,000 to $124,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$125,000 to $149,999",White,No,In an MSA or CMSA of 3 million or more,Urban
15.301,1,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Rural
5.182,1,South Atlantic,"$50,000 to $74,999",Black or African American,No,"In an MSA of Less than 250,000",Rural
0.689,0,Mountain,"$15,000 to $24,999",White,Yes,"In an MSA of 500,000 - 999,999",Urban
1.085,1,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
2.846,1,South Atlantic,"$75,000 to $99,999",Black or African American,No,"In an MSA of Less than 250,000",Urban
2.366,0,Middle Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.366,0,Middle Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.366,0,Middle Atlantic,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
4.909,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
4.909,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
20.059,1,Pacific,"$10,000 to $14,999",White,No,Not in MSA or CMSA,Rural
20.059,1,Pacific,"$10,000 to $14,999",White,No,Not in MSA or CMSA,Rural
20.059,1,Pacific,"$10,000 to $14,999",White,No,Not in MSA or CMSA,Rural
0.055,0,Pacific,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
5.174,1,Mountain,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Urban
5.174,1,Mountain,"$25,000 to $34,999",White,No,Not in MSA or CMSA,Urban
2.6475,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.142,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 250,000 - 499,999",Urban
2.625,0,South Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$25,000 to $34,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.462,1,South Atlantic,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.043,1,South Atlantic,"$25,000 to $34,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.776,0,West South Central,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
0.352,0,East North Central,"$10,000 to $14,999",Other,No,"In an MSA of Less than 250,000",Rural
0.352,0,East North Central,"$10,000 to $14,999",Other,No,"In an MSA of Less than 250,000",Rural
0.603,1,East North Central,"$35,000 to $49,999",Other,Yes,Not in MSA or CMSA,Urban
0.663,1,East North Central,"$35,000 to $49,999",Other,Yes,Not in MSA or CMSA,Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
11.985,1,Middle Atlantic,"$35,000 to $49,999",White,No,"In an MSA of Less than 250,000",Rural
3.005,1,South Atlantic,"$100,000 to $124,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
1.399,0,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.101,0,Middle Atlantic,"$75,000 to $99,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,Middle Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
2.625,1,Middle Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
0.756,0,Pacific,"$125,000 to $149,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$100,000 to $124,999",White,No,Not in MSA or CMSA,Rural
2.625,1,East North Central,"$100,000 to $124,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,East North Central,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Rural
1.185,0,Middle Atlantic,"$10,000 to $14,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$50,000 to $74,999",White,No,In an MSA or CMSA of 3 million or more,Urban
3.857,0,Middle Atlantic,"$200,000 or more",White,No,"In an MSA of Less than 250,000",Rural
1.557,0,South Atlantic,"$50,000 to $74,999",Other,Yes,"In an MSA of 250,000 - 499,999",Urban
1.904,1,South Atlantic,"$50,000 to $74,999",Other,Yes,"In an MSA of 250,000 - 499,999",Urban
1.121,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
0.734,0,East North Central,"$75,000 to $99,999",White,No,"In an MSA of Less than 250,000",Urban
9.553,0,West South Central,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Rural
2.68,1,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.177,0,South Atlantic,"$100,000 to $124,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
2.625,0,South Atlantic,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
4.355,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$125,000 to $149,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
5.956,0,West South Central,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Rural
11.272,0,West South Central,"$125,000 to $149,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
11.272,0,West South Central,"$125,000 to $149,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
1.898,0,West North Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
1.897,0,West North Central,"$200,000 or more",White,No,"In an MSA of 500,000 - 999,999",Urban
0.816,0,West South Central,No data,Asian,No,"In an MSA of Less than 250,000",Urban
2.553,0,Pacific,"$15,000 to $24,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
2.553,0,Pacific,"$15,000 to $24,999",Other,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
8.275,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
8.275,0,Pacific,"$50,000 to $74,999",Asian,No,In an MSA or CMSA of 3 million or more,Urban
10.188,1,South Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
10.188,1,South Atlantic,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Rural
0.392,0,East North Central,"$200,000 or more",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
